Variables;Units;Description;Category 1 ;Category 2;Category 3;Category 4;Category 5;Category 6;URI;Mesures chimiques;Commentaires observatoire
Soil Moisture/Water Content at depth 20 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 25 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 30 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 4 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 40 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 5 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 50 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 50 cm (loc. a);;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 60 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content at depth 80 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content integrated from 0 to -30 cm (loc. b);;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content integrated from 0 to -30 cm (loc. c);;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Moisture/Water Content integrated from 0 to -6 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Temperature at depth 1 m;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 1.15 m;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 1.2 m;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 1.5 m;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 10 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 10 cm (loc. a);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 10 cm (loc. b);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 10 cm (loc. c);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 15 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 2 m;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 2.5 m;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 20 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 20 cm (loc. b);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 20 cm (loc. c);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 25 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 30 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 40 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 40 cm (loc. b);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 40 cm (loc. c);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 5 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 5 cm (2);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 50 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 50 cm (loc. a);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 55 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 60 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 70 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 80 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth 85 cm;;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Temperature at depth X cm (loc. b);;;LAND SURFACE;SOIL;SOIL THERMAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilThermalMeasurements;;
Soil Water/Succion at depth 1 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 1.2 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 1.3 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 1.4 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 1.5 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 1.8 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 1.9 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 10 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 2 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 2.2 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 2.4 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 2.5 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 2.8 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 2.9 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 20 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 25 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 3 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 40 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 50 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 60 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Succion at depth 80 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 1.15 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 1.33 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 1.47 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 1.5 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 1.97 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 11 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 2 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 2.27 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 2.3 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 2.47 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 2.5 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 25 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 29 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 30 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 47 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 55 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at depth 85 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at height 1.19 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at height 38 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at height 43 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Conductance at height 86 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 1 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 1.2 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 1.3 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 1.4 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 1.5 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 1.8 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 1.9 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 10 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 2 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 2.2 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 2.4 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 2.5 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 2.8 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 2.9 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 20 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 25 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 3 m;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 40 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 50 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 60 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Soil Water/Watermark Resistance at depth 80 cm;;;LAND SURFACE;SOIL;SOIL WATER MEASUREMENTS;;;;https://w3id.org/ozcar-theia/soilWaterMeasurements;;
Standard Deviation of Wind Direction;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Standard Deviation of Wind Direction (2);;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Standard Deviation of Wind Direction at height 15 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Standard Deviation of Wind Direction at height 18 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Standard Deviation of Wind Direction at height 5 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Strontium;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;METALS AND METALLOIDS (GROUNDWATER);METALLIC TRACE ELEMENTS (GROUNDWATER);;https://w3id.org/ozcar-theia/groundwaterMetallicTraceElements;DISSOLVED;
Sulfate Ion;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;MAJOR IONS (GROUNDWATER);;;https://w3id.org/ozcar-theia/groundwaterMajorIons;DISSOLVED;
Sulfate Ion;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;OTHER MINERAL ELEMENTS (GROUNDWATER);;;https://w3id.org/ozcar-theia/groundwaterOtherMineralElements;DISSOLVED;
Surface Suspended Sediment Concentration;;;LAND SURFACE;SOIL;EROSION/SEDIMENTATION;;;;https://w3id.org/ozcar-theia/erosionSedimentation;;
Surface Suspended Sediment Concentration;;;TERRESTRIAL HYDROSPHERE;SURFACE WATER;SURFACE WATER CHEMISTRY;GLOBAL INDICES (GROUNDWATER);;;https://w3id.org/ozcar-theia/groundwaterGlobalIndices;;
Turbidity;;;TERRESTRIAL HYDROSPHERE;SURFACE WATER;SURFACE WATER CHEMISTRY;GLOBAL INDICES (GROUNDWATER);;;https://w3id.org/ozcar-theia/groundwaterGlobalIndices;;
Uranium;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;METALS AND METALLOIDS (GROUNDWATER);METALLIC TRACE ELEMENTS (GROUNDWATER);;https://w3id.org/ozcar-theia/groundwaterMetallicTraceElements;DISSOLVED;
Vanadium;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;METALS AND METALLOIDS (GROUNDWATER);METALLIC TRACE ELEMENTS (GROUNDWATER);;https://w3id.org/ozcar-theia/groundwaterMetallicTraceElements;DISSOLVED;
Vegetation Cover Fraction;;;BIOSPHERE;VEGETATION;;;;;https://w3id.org/ozcar-theia/vegetation;;
Ventilated Air Temperature;;;ATMOSPHERE;ATMOSPHERIC TEMPERATURE;;;;;https://w3id.org/ozcar-theia/atmosphericTemperature;;
Ventilated Air Temperature at height 5 m;;;ATMOSPHERE;ATMOSPHERIC TEMPERATURE;;;;;https://w3id.org/ozcar-theia/atmosphericTemperature;;
Ventilated Relative Humidity;;;ATMOSPHERE;ATMOSPHERIC WATER VAPOR;;;;;https://w3id.org/ozcar-theia/atmosphericWaterVapor;;
Ventilated Relative Humidity at height 5 m;;;ATMOSPHERE;ATMOSPHERIC WATER VAPOR;;;;;https://w3id.org/ozcar-theia/atmosphericWaterVapor;;
Water Level;;;TERRESTRIAL HYDROSPHERE;SURFACE WATER;HYDROLOGICAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/hydrologicalMeasurements;;
Water Level (from reading sensor);;;TERRESTRIAL HYDROSPHERE;SURFACE WATER;HYDROLOGICAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/hydrologicalMeasurements;;
Water Table;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;HYDROGEOLOGICAL MEASUREMENTS;;;;https://w3id.org/ozcar-theia/hydrogeologicalMeasurements;;
Water Temperature;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;GLOBAL INDICES (GROUNDWATER);;;https://w3id.org/ozcar-theia/groundwaterGlobalIndices;;
Wind Direction;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Direction (2);;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Direction at height 15 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Direction at height 18 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Direction at height 5 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Speed;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Speed (2);;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Speed at height 15 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Speed at height 18 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Wind Speed at height 5 m;;;ATMOSPHERE;WIND;;;;;https://w3id.org/ozcar-theia/wind;;
Zinc;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUND WATER CHEMISTRY;METALS AND METALLOIDS (GROUNDWATER);METALLIC TRACE ELEMENTS (GROUNDWATER);;https://w3id.org/ozcar-theia/groundwaterMetallicTraceElements;DISSOLVED;
